word,frequency
==============================,0
1行目を変えると😇,0
frequency=0でコメントアウト,0
frequencyは1:100の範囲で,0
使える記号は限定的,0
==============================,0

==============================,0
ぬるぽ帝国C95サークルカット用,0
==============================,0

RISC-V,10
ARM,30
Intel,10
x86,40
MIPS,10
SD-WAN,10
Internet,20
Slack,10
Python,20
アニメ,50
waifu2x,40
Twitter,0
Mastodon,0
自宅サーバ,10
CUDA,20
超解像技術,30
動画,20
画像認識,10
nginx,10
HAProxy,10
Wireshark,0
Docker,10
OpenStack,0
OpenCV,20
Lanczos3,20
FullHD,20
4K,40
SSIM,30
PSNR,30
MSE,10
類似度,30
フレーム補間,20
FFmpeg,20
定量的,20
画質,20
作画,25
評価,30
GPU,20
Similarity,10
社畜,5
御見積,5
御客様,5
神Excel,10
ウォーターフォール,10
トイレスマホ,0
コミュ障,20
温かみのある手作業,20
Core2Duo,10
働き方改革,10
